anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3
2009,11,2009-11,Estado Nacional,Shale gas,0
2009,11,2009-11,Estado Nacional,Tight gas,0
2009,11,2009-11,Formosa,Producción convencional,3238.42
2009,11,2009-11,Formosa,Shale gas,0
2009,11,2009-11,Formosa,Tight gas,0
2009,11,2009-11,Jujuy,Producción convencional,350.230000
2009,11,2009-11,Jujuy,Shale gas,0
2009,11,2009-11,Jujuy,Tight gas,0
2009,11,2009-11,La Pampa,Producción convencional,34610.864
2009,11,2009-11,La Pampa,Shale gas,0
2009,11,2009-11,La Pampa,Tight gas,0
2009,11,2009-11,Mendoza,Producción convencional,179528.9852
2009,11,2009-11,Mendoza,Shale gas,0
2009,11,2009-11,Mendoza,Tight gas,0
2009,11,2009-11,Neuquén,Producción convencional,1618153.33894000
2009,11,2009-11,Neuquén,Shale gas,936.856
2009,11,2009-11,Neuquén,Tight gas,58273.54355
2009,11,2009-11,Rio Negro,Producción convencional,57542.74700000
2009,11,2009-11,Rio Negro,Shale gas,0
2009,11,2009-11,Rio Negro,Tight gas,11207.403
2009,11,2009-11,Salta,Producción convencional,504873.511
2009,11,2009-11,Salta,Shale gas,0
2009,11,2009-11,Salta,Tight gas,0
2009,11,2009-11,San Juan,Producción convencional,0
2009,11,2009-11,San Juan,Shale gas,0
2009,11,2009-11,San Juan,Tight gas,0
2009,11,2009-11,Santa Cruz,Producción convencional,399528.9859
2009,11,2009-11,Santa Cruz,Shale gas,0
2009,11,2009-11,Santa Cruz,Tight gas,2043.709
2009,11,2009-11,Tierra del Fuego,Producción convencional,349214.203
2009,11,2009-11,Tierra del Fuego,Shale gas,0
2009,11,2009-11,Tierra del Fuego,Tight gas,0
2009,12,2009-12,Chubut,Producción convencional,294311.5651
2009,12,2009-12,Chubut,Shale gas,0
2009,12,2009-12,Chubut,Tight gas,0
2009,12,2009-12,Estado Nacional,Producción convencional,230797.512
2009,12,2009-12,Estado Nacional,Shale gas,0
2009,12,2009-12,Estado Nacional,Tight gas,0
2009,12,2009-12,Formosa,Producción convencional,3008.10
2009,12,2009-12,Formosa,Shale gas,0
2009,12,2009-12,Formosa,Tight gas,0
2009,12,2009-12,Jujuy,Producción convencional,342.500000
2009,12,2009-12,Jujuy,Shale gas,0
2009,12,2009-12,Jujuy,Tight gas,0
2009,12,2009-12,La Pampa,Producción convencional,34661.640
2009,12,2009-12,La Pampa,Shale gas,0
2009,12,2009-12,La Pampa,Tight gas,0
2009,12,2009-12,Mendoza,Producción convencional,193172.8709
2009,12,2009-12,Mendoza,Shale gas,0
2009,12,2009-12,Mendoza,Tight gas,0
2009,12,2009-12,Neuquén,Producción convencional,1732425.44486000
2009,12,2009-12,Neuquén,Shale gas,1635.647
2009,12,2009-12,Neuquén,Tight gas,58282.35265
2009,12,2009-12,Rio Negro,Producción convencional,55530.76000000
2009,12,2009-12,Rio Negro,Shale gas,0
2009,12,2009-12,Rio Negro,Tight gas,10973.123
2009,12,2009-12,Salta,Producción convencional,512034.897
2009,12,2009-12,Salta,Shale gas,0
2009,12,2009-12,Salta,Tight gas,0
2009,12,2009-12,San Juan,Producción convencional,0
2009,12,2009-12,San Juan,Shale gas,0
2009,12,2009-12,San Juan,Tight gas,0
2009,12,2009-12,Santa Cruz,Producción convencional,387544.5246
2009,12,2009-12,Santa Cruz,Shale gas,0
2009,12,2009-12,Santa Cruz,Tight gas,2324.663
2009,12,2009-12,Tierra del Fuego,Producción convencional,347036.221
2009,12,2009-12,Tierra del Fuego,Shale gas,0
2009,12,2009-12,Tierra del Fuego,Tight gas,0
2010,1,2010-01,Chubut,Producción convencional,294997.3366
2010,1,2010-01,Chubut,Shale gas,0
2010,1,2010-01,Chubut,Tight gas,0
2010,1,2010-01,Estado Nacional,Producción convencional,212317.005
2010,1,2010-01,Estado Nacional,Shale gas,0
2010,1,2010-01,Estado Nacional,Tight gas,0
2010,1,2010-01,Formosa,Producción convencional,3324.67
2010,1,2010-01,Formosa,Shale gas,0
2010,1,2010-01,Formosa,Tight gas,0
2010,1,2010-01,Jujuy,Producción convencional,360.620000
2010,1,2010-01,Jujuy,Shale gas,0
2010,1,2010-01,Jujuy,Tight gas,0
2010,1,2010-01,La Pampa,Producción convencional,33680.980
2010,1,2010-01,La Pampa,Shale gas,0
2010,1,2010-01,La Pampa,Tight gas,0
2010,1,2010-01,Mendoza,Producción convencional,192792.887
2010,1,2010-01,Mendoza,Shale gas,0
2010,1,2010-01,Mendoza,Tight gas,0
2010,1,2010-01,Neuquén,Producción convencional,1767073.74501000
2010,1,2010-01,Neuquén,Shale gas,1477.661
2010,1,2010-01,Neuquén,Tight gas,71601.47415
2010,1,2010-01,Rio Negro,Producción convencional,54042.94475000
2010,1,2010-01,Rio Negro,Shale gas,0
2010,1,2010-01,Rio Negro,Tight gas,11256.628
2010,1,2010-01,Salta,Producción convencional,494485.641
2010,1,2010-01,Salta,Shale gas,0
2010,1,2010-01,Salta,Tight gas,0
2010,1,2010-01,San Juan,Producción convencional,0
2010,1,2010-01,San Juan,Shale gas,0
2010,1,2010-01,San Juan,Tight gas,0
2010,1,2010-01,Santa Cruz,Producción convencional,405887.1991
2010,1,2010-01,Santa Cruz,Shale gas,0
2010,1,2010-01,Santa Cruz,Tight gas,1759.162
2010,1,2010-01,Tierra del Fuego,Producción convencional,338993.693
2010,1,2010-01,Tierra del Fuego,Shale gas,0
2010,1,2010-01,Tierra del Fuego,Tight gas,0
2010,2,2010-02,Chubut,Producción convencional,268878.3468
2010,2,2010-02,Chubut,Shale gas,0
2010,2,2010-02,Chubut,Tight gas,0
2010,2,2010-02,Estado Nacional,Producción convencional,233303.242
2010,2,2010-02,Estado Nacional,Shale gas,0
2010,2,2010-02,Estado Nacional,Tight gas,0
2010,2,2010-02,Formosa,Producción convencional,2982.32
2010,2,2010-02,Formosa,Shale gas,0
2010,2,2010-02,Formosa,Tight gas,0
2010,2,2010-02,Jujuy,Producción convencional,344.430000
2010,2,2010-02,Jujuy,Shale gas,0
2010,2,2010-02,Jujuy,Tight gas,0
2010,2,2010-02,La Pampa,Producción convencional,35053.488
2010,2,2010-02,La Pampa,Shale gas,0
2010,2,2010-02,La Pampa,Tight gas,0
2010,2,2010-02,Mendoza,Producción convencional,172375.3568
2010,2,2010-02,Mendoza,Shale gas,0
2010,2,2010-02,Mendoza,Tight gas,0
2010,2,2010-02,Neuquén,Producción convencional,1651631.20062000
2010,2,2010-02,Neuquén,Shale gas,1372.186
2010,2,2010-02,Neuquén,Tight gas,68224.72159
